车辆类型,排放类型,speed_kmh,acceleration_m/s2,排放因子_g/s
小轿车,NOx,11,-1.7,2.46343888888889e-05
小轿车,NOx,12,-1.7,2.46343888888889e-05
小轿车,NOx,13,-1.7,2.46343888888889e-05
小轿车,NOx,14,-1.7,2.46343888888889e-05
小轿车,NOx,15,-1.7,2.46343888888889e-05
小轿车,NOx,16,-1.7,2.46343888888889e-05
小轿车,NOx,17,-1.7,2.46343888888889e-05
小轿车,NOx,18,-1.7,2.46343888888889e-05
小轿车,NOx,19,-1.7,2.46343888888889e-05
小轿车,NOx,20,-1.7,2.46343888888889e-05
小轿车,NOx,21,-1.7,2.46343888888889e-05
小轿车,NOx,22,-1.7,2.46343888888889e-05
小轿车,NOx,23,-1.7,2.46343888888889e-05
小轿车,NOx,24,-1.7,2.46343888888889e-05
小轿车,NOx,25,-1.7,2.46343888888889e-05
小轿车,NOx,26,-1.7,2.46343888888889e-05
小轿车,NOx,27,-1.7,2.46343888888889e-05
小轿车,NOx,28,-1.7,2.46343888888889e-05
小轿车,NOx,29,-1.7,2.46343888888889e-05
小轿车,NOx,30,-1.7,2.46343888888889e-05
小轿车,NOx,31,-1.7,2.46343888888889e-05
小轿车,NOx,32,-1.7,2.46343888888889e-05
小轿车,NOx,33,-1.7,2.46343888888889e-05
小轿车,NOx,34,-1.7,2.46343888888889e-05
小轿车,NOx,35,-1.7,2.46343888888889e-05
小轿车,NOx,36,-1.7,2.46343888888889e-05
小轿车,NOx,37,-1.7,2.46343888888889e-05
小轿车,NOx,38,-1.7,2.46343888888889e-05
小轿车,NOx,39,-1.7,2.46343888888889e-05
小轿车,NOx,40,-1.7,2.46343888888889e-05
小轿车,NOx,41,-1.7,2.46343888888889e-05
小轿车,NOx,42,-1.7,2.46343888888889e-05
小轿车,NOx,43,-1.7,2.46343888888889e-05
小轿车,NOx,44,-1.7,2.46343888888889e-05
小轿车,NOx,45,-1.7,2.46343888888889e-05
小轿车,NOx,46,-1.7,2.46343888888889e-05
小轿车,NOx,47,-1.7,2.46343888888889e-05
小轿车,NOx,48,-1.7,2.46343888888889e-05
小轿车,NOx,49,-1.7,2.46343888888889e-05
小轿车,NOx,50,-1.7,2.46343888888889e-05
小轿车,NOx,51,-1.7,2.46343888888889e-05
小轿车,NOx,52,-1.7,2.46343888888889e-05
小轿车,NOx,53,-1.7,2.46343888888889e-05
小轿车,NOx,54,-1.7,2.46343888888889e-05
小轿车,NOx,55,-1.7,2.46343888888889e-05
小轿车,NOx,56,-1.7,2.46343888888889e-05
小轿车,NOx,57,-1.7,2.46343888888889e-05
小轿车,NOx,58,-1.7,2.46343888888889e-05
小轿车,NOx,59,-1.7,2.46343888888889e-05
小轿车,NOx,60,-1.7,2.46343888888889e-05
小轿车,NOx,61,-1.7,2.46343888888889e-05
小轿车,NOx,62,-1.7,2.46343888888889e-05
小轿车,NOx,63,-1.7,2.46343888888889e-05
小轿车,NOx,64,-1.7,2.46343888888889e-05
小轿车,NOx,65,-1.7,2.46343888888889e-05
小轿车,NOx,66,-1.7,2.46343888888889e-05
小轿车,NOx,67,-1.7,2.46343888888889e-05
小轿车,NOx,68,-1.7,2.46343888888889e-05
小轿车,NOx,69,-1.7,2.46343888888889e-05
小轿车,NOx,70,-1.7,2.46343888888889e-05
小轿车,NOx,71,-1.7,2.46343888888889e-05
小轿车,NOx,72,-1.7,2.46343888888889e-05
小轿车,NOx,73,-1.7,2.46343888888889e-05
小轿车,NOx,74,-1.7,2.46343888888889e-05
小轿车,NOx,75,-1.7,2.46343888888889e-05
小轿车,NOx,76,-1.7,2.46343888888889e-05
小轿车,NOx,77,-1.7,2.46343888888889e-05
小轿车,NOx,78,-1.7,2.46343888888889e-05
小轿车,NOx,79,-1.7,2.46343888888889e-05
小轿车,NOx,80,-1.7,2.46343888888889e-05
小轿车,NOx,81,-1.7,2.46343888888889e-05
小轿车,NOx,82,-1.7,2.46343888888889e-05
小轿车,NOx,83,-1.7,2.46343888888889e-05
小轿车,NOx,84,-1.7,2.46343888888889e-05
